,Date,Volume,Turnover,Open,High,Low,Close
1,107/08/02,"22,775,110","5,611,725,541",249.00,249.50,243.50,244.50
2,107/08/03,"25,165,097","6,205,758,662",246.00,248.00,245.00,247.00
3,107/08/06,"22,364,568","5,487,396,854",245.00,247.00,244.00,245.50
4,107/08/07,"24,352,418","5,922,738,042",245.00,245.50,241.50,241.50
5,107/08/08,"24,382,432","6,011,480,272",245.00,247.50,244.50,247.50
6,107/08/09,"15,128,655","3,740,736,404",247.00,248.00,246.00,247.00
7,107/08/10,"16,125,492","3,961,311,040",246.50,247.00,244.50,245.00
8,107/08/13,"17,881,194","4,302,280,285",241.50,243.00,239.00,240.50
9,107/08/14,"17,488,913","4,262,753,253",245.00,245.00,242.50,243.50
10,107/08/15,"19,236,321","4,642,117,523",244.50,244.50,239.50,241.50
11,107/08/16,"19,155,966","4,587,260,340",238.00,241.50,238.00,239.00
12,107/08/17,"19,634,474","4,707,354,383",239.50,241.00,239.00,239.50
13,107/08/20,"17,014,437","4,068,729,103",239.50,240.00,238.00,239.50
14,107/08/21,"13,871,127","3,328,215,657",239.00,241.00,238.50,241.00
15,107/08/22,"12,679,240","3,063,201,922",241.50,242.50,240.50,242.00
16,107/08/23,"17,216,240","4,200,671,070",243.00,244.50,243.00,244.50
17,107/08/24,"15,446,943","3,772,959,070",245.50,246.00,243.00,243.50
18,107/08/27,"15,579,299","3,825,736,755",246.00,246.50,244.50,245.00
19,107/08/28,"40,410,531","10,075,613,779",248.50,250.00,248.00,249.50
20,107/08/29,"57,633,182","14,784,556,456",253.50,259.00,253.50,259.00
21,107/08/30,"52,622,808","13,914,404,873",264.50,268.00,262.50,263.50
22,107/08/31,"70,000,506","17,920,548,387",257.50,259.00,254.00,256.00
0,107/09/03,"34,510,555","8,901,193,266",259.00,260.00,256.50,257.00
1,107/09/04,"41,455,615","10,654,493,061",258.50,259.50,255.50,257.50
2,107/09/05,"52,706,459","13,833,360,422",260.00,264.50,259.00,264.00
3,107/09/06,"39,779,488","10,467,251,488",268.00,268.00,261.00,261.00
4,107/09/07,"44,746,728","11,753,033,262",263.00,264.00,260.50,264.00
5,107/09/10,"62,851,599","16,669,866,076",266.50,266.50,262.50,264.50
6,107/09/11,"44,981,276","11,709,484,991",263.00,263.50,258.00,260.00
7,107/09/12,"38,415,965","9,987,682,900",261.00,262.00,258.00,260.50
8,107/09/13,"37,959,180","9,721,989,110",260.00,260.00,253.50,255.00
9,107/09/14,"40,034,219","10,379,404,959",257.00,261.50,257.00,261.00
10,107/09/17,"25,041,358","6,483,537,091",262.50,262.50,257.00,258.00
11,107/09/18,"34,381,152","8,771,502,830",256.50,257.00,254.00,254.50
12,107/09/19,"69,978,711","18,074,954,749",258.00,260.00,257.00,258.00
13,107/09/20,"35,577,071","9,225,009,310",261.50,261.50,257.50,260.00
14,107/09/21,"36,500,974","9,510,363,894",261.50,261.50,258.00,261.50
15,107/09/25,"24,978,062","6,552,894,296",261.50,264.00,260.50,263.50
16,107/09/26,"25,061,115","6,577,367,245",263.00,263.50,261.00,263.50
17,107/09/27,"38,495,371","10,185,827,315",264.00,266.00,262.00,265.00
18,107/09/28,"39,645,486","10,412,455,506",266.00,266.00,260.00,262.50
0,107/10/01,"22,409,380","5,882,532,290",262.00,264.00,261.00,263.00
1,107/10/02,"38,391,491","9,926,505,357",262.00,263.00,257.00,257.50
2,107/10/03,"25,228,536","6,527,393,860",257.50,260.00,257.00,260.00
3,107/10/04,"38,009,727","9,690,178,362",257.00,257.50,254.00,254.00
4,107/10/05,"40,396,660","10,101,451,270",250.00,253.00,248.50,250.00
5,107/10/08,"51,083,958","12,426,290,240",245.50,246.50,241.00,243.50
6,107/10/09,"28,933,345","7,051,600,725",243.50,245.00,242.00,244.00
7,107/10/11,"96,033,657","22,115,862,239",233.50,233.50,227.00,227.50
8,107/10/12,"54,439,769","12,650,322,522",231.00,237.00,229.00,237.00
9,107/10/15,"46,471,280","10,766,953,220",234.00,234.00,230.50,230.50
10,107/10/16,"39,129,077","9,155,829,047",229.50,237.00,229.00,237.00
11,107/10/17,"42,887,858","10,318,955,161",241.50,243.00,238.00,238.50
12,107/10/18,"27,793,430","6,587,887,632",238.00,239.00,235.50,236.50
13,107/10/19,"29,648,460","6,927,405,460",231.00,236.50,230.00,236.00
14,107/10/22,"29,275,777","6,872,467,149",232.50,238.00,231.50,237.00
15,107/10/23,"36,757,745","8,538,586,595",232.00,234.00,230.00,230.00
